"Comparison","species","average","overall","sd","ratio","ava","avb","ord","cusum","p"
"Gallinago gallinago_Tringa glareola","Campylobacter.jejuni",0.01022739851188,0.876652259679859,0.0103661972988485,0.986610443254454,0.0745724402990297,0.0218563804423334,72,0.464549650263662,0.011
"Gallinago gallinago_Tringa glareola","Campylobacter.lari",0.0188079076151842,0.876652259679859,0.0244025389811917,0.770735685728458,0.121149290081888,0.0246306030310945,638,0.470382922261679,0.042
"Gallinago gallinago_Tringa glareola","Campylobacter.coli",0.00657870271309149,0.876652259679859,0.0081453472034967,0.807663878375539,0.0502263754750347,0.00538256497424191,61,0.481622838859006,0.047
"Gallinago gallinago_Tringa glareola","Pseudomonas.aeruginosa",0.00543026590087177,0.876652259679859,0.00567173243147866,0.957426318409041,0.0171511526370929,0.0412307108307524,607,0.519501111889172,0.003
"Gallinago gallinago_Tringa glareola","Pseudomonas.stutzeri",0.00517296143200939,0.876652259679859,0.00537760667624325,0.961944921494923,0.0106241002206136,0.0389643979111174,164,0.547100058101891,0.001
"Gallinago gallinago_Tringa glareola","Ralstonia.pickettii",0.00836737533285865,0.876652259679859,0.00822115510559348,1.01778584948065,0.0170645819189027,0.0609065443490925,171,0.574350172432931,0.001
"Gallinago gallinago_Tringa glareola","Ideonella.sakaiensis",0.00245830045111342,0.876652259679859,0.00443839747522801,0.553871180946257,0.00194580040955096,0.0193681487586578,126,0.601143874187911,0.011
"Gallinago gallinago_Tringa glareola","Hydrogenophaga.pseudoflava",0.0023810372405855,0.876652259679859,0.00489362721898074,0.486558770016289,0.00414388100121642,0.0208319144459756,43,0.602816837025182,0.039
"Gallinago gallinago_Tringa glareola","Sphingomonas.echinoides",0.00559996218088465,0.876652259679859,0.00643523436611701,0.870203299878205,0.00659086822507806,0.0423256643467034,143,0.60448749512806,0.001
"Gallinago gallinago_Tringa glareola","Rubrivivax.gelatinosus",0.00173667584404882,0.876652259679859,0.00326217494543898,0.532367476636088,0.00208472159287903,0.0169290906614669,73,0.614361605887807,0.019
"Gallinago gallinago_Tringa glareola","Rhodobacter.blasticus",0.00371555211362095,0.876652259679859,0.00482165117075445,0.77059745345277,0.0118959364082055,0.0263231737595205,102,0.628403171456794,0.023
