Metrics	dataset
number_of_reads	93412
number_of_bases	147940336.0
median_read_length	1583.0
mean_read_length	1583.7
read_length_stdev	35.5
n50	1583.0
mean_qual	12.1
median_qual	12.8
longest_read_(with_Q):1	1799 (12.6)
longest_read_(with_Q):2	1799 (11.3)
longest_read_(with_Q):3	1798 (13.9)
longest_read_(with_Q):4	1798 (12.4)
longest_read_(with_Q):5	1798 (11.2)
highest_Q_read_(with_length):1	18.9 (1619)
highest_Q_read_(with_length):2	18.7 (1634)
highest_Q_read_(with_length):3	18.7 (1582)
highest_Q_read_(with_length):4	18.4 (1513)
highest_Q_read_(with_length):5	18.4 (1602)
Reads >Q5:	93412 (100.0%) 147.9Mb
Reads >Q7:	93412 (100.0%) 147.9Mb
Reads >Q10:	93396 (100.0%) 147.9Mb
Reads >Q12:	62302 (66.7%) 98.9Mb
Reads >Q15:	8394 (9.0%) 13.4Mb
