Metrics	dataset
number_of_reads	7380
number_of_bases	11810703.0
median_read_length	1613.0
mean_read_length	1600.4
read_length_stdev	161.2
n50	1614.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	4088 (12.4)
longest_read_(with_Q):2	3333 (14.1)
longest_read_(with_Q):3	3309 (12.1)
longest_read_(with_Q):4	3286 (14.1)
longest_read_(with_Q):5	3261 (14.1)
highest_Q_read_(with_length):1	18.1 (1595)
highest_Q_read_(with_length):2	18.0 (1527)
highest_Q_read_(with_length):3	17.9 (1636)
highest_Q_read_(with_length):4	17.9 (1620)
highest_Q_read_(with_length):5	17.9 (1623)
Reads >Q5:	7380 (100.0%) 11.8Mb
Reads >Q7:	7380 (100.0%) 11.8Mb
Reads >Q10:	7379 (100.0%) 11.8Mb
Reads >Q12:	5278 (71.5%) 8.5Mb
Reads >Q15:	667 (9.0%) 1.1Mb
