Metrics	dataset
number_of_reads	90419
number_of_bases	145007954.0
median_read_length	1606.0
mean_read_length	1603.7
read_length_stdev	32.8
n50	1607.0
mean_qual	12.2
median_qual	13.0
longest_read_(with_Q):1	1800 (12.4)
longest_read_(with_Q):2	1798 (11.6)
longest_read_(with_Q):3	1797 (11.3)
longest_read_(with_Q):4	1796 (15.3)
longest_read_(with_Q):5	1795 (11.9)
highest_Q_read_(with_length):1	18.6 (1553)
highest_Q_read_(with_length):2	18.6 (1626)
highest_Q_read_(with_length):3	18.5 (1583)
highest_Q_read_(with_length):4	18.4 (1619)
highest_Q_read_(with_length):5	18.4 (1627)
Reads >Q5:	90419 (100.0%) 145.0Mb
Reads >Q7:	90419 (100.0%) 145.0Mb
Reads >Q10:	90408 (100.0%) 145.0Mb
Reads >Q12:	64539 (71.4%) 103.7Mb
Reads >Q15:	8080 (8.9%) 13.0Mb
