accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR36073102	SRP645799	new	PRJNA1358826	SAMN53128824	ST05013	library ST05013	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05013_waterbird_1.fastq.gz							
SRR36073101	SRP645799	new	PRJNA1358826	SAMN53128825	ST05016	library ST05016	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05016_waterbird_1.fastq.gz							
SRR36073090	SRP645799	new	PRJNA1358826	SAMN53128826	ST05017	library ST05017	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05017_waterbird_1.fastq.gz							
SRR36073079	SRP645799	new	PRJNA1358826	SAMN53128827	ST05018	library ST05018	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05018_waterbird_1.fastq.gz							
SRR36073068	SRP645799	new	PRJNA1358826	SAMN53128828	ST05019	library ST05019	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05019_waterbird_1.fastq.gz							
SRR36073057	SRP645799	new	PRJNA1358826	SAMN53128829	ST05021	library ST05021	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05021_waterbird_1.fastq.gz							
SRR36073051	SRP645799	new	PRJNA1358826	SAMN53128830	ST05022	library ST05022	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05022_waterbird_1.fastq.gz							
SRR36073050	SRP645799	new	PRJNA1358826	SAMN53128831	ST05023	library ST05023	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05023_waterbird_2.fastq.gz							
SRR36073049	SRP645799	new	PRJNA1358826	SAMN53128832	ST05024	library ST05024	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05024_waterbird_1.fastq.gz							
SRR36073048	SRP645799	new	PRJNA1358826	SAMN53128833	ST05025	library ST05025	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05025_waterbird_1.fastq.gz							
SRR36073100	SRP645799	new	PRJNA1358826	SAMN53128834	ST05026	library ST05026	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05026_waterbird_1.fastq.gz							
SRR36073099	SRP645799	new	PRJNA1358826	SAMN53128835	ST05027	library ST05027	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05027_waterbird_1.fastq.gz							
SRR36073098	SRP645799	new	PRJNA1358826	SAMN53128836	ST05028	library ST05028	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fastq			ST05028_waterbird_1.fastq.gz							
