_id	projectID	sampleID	isolation_source	source_type	host	collection_date	collected_by	locality	preservation	platform	sequencing_approach	barcode	run_date	run_directory	project_directory	comment	if_repeated	specimenID
652c4610312dae40112ee925	waterbird_microbiome	SL01122	fecal	Animal	Tringa erythropus	2023-08-24 00:00:00	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode01	2023-11-29 00:00:00	waterbird_1	waterbird_microbiome			
652c4610312dae40112ee926	waterbird_microbiome	SL01123	fecal	Animal	Tringa erythropus	2023-08-24 00:00:00	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode02	2023-11-29 00:00:00	waterbird_1	waterbird_microbiome			
652c4610312dae40112ee92e	waterbird_microbiome	ST05013	fecal	Animal	Gallinago gallinago	2023-07-27 00:00:00	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode03	2023-11-29 00:00:00	waterbird_1	waterbird_microbiome			
652c4610312dae40112ee92f	waterbird_microbiome	ST05016	fecal	Animal	Gallinago gallinago	2023-08-03 00:00:00	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode04	2023-11-29 00:00:00	waterbird_1	waterbird_microbiome			
652c4610312dae40112ee930	waterbird_microbiome	ST05017	fecal	Animal	Gallinago gallinago	2023-08-03 00:00:00	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode05	2023-11-29 00:00:00	waterbird_1	waterbird_microbiome			
652c4610312dae40112ee931	waterbird_microbiome	ST05018	fecal	Animal	Gallinago gallinago	2023-08-03 00:00:00	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode06	2023-11-29 00:00:00	waterbird_1	waterbird_microbiome			
652c4610312dae40112ee932	waterbird_microbiome	ST05019	fecal	Animal	Gallinago gallinago	2023-08-18	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode07	2023-11-29	waterbird_1	waterbird_microbiome	Ask Balázs Koleszár for details tringaDB		
652c4610312dae40112ee934	waterbird_microbiome	ST05021	fecal	Animal	Gallinago gallinago	2023-08-19	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode08	2023-11-29	waterbird_1	waterbird_microbiome	Ask Balázs Koleszár for details tringaDB		
652c4610312dae40112ee935	waterbird_microbiome	ST05022	fecal	Animal	Gallinago gallinago	2023-08-19	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode09	2023-11-29	waterbird_1	waterbird_microbiome	Ask Balázs Koleszár for details tringaDB		
652c4610312dae40112ee937	waterbird_microbiome	ST05024	fecal	Animal	Gallinago gallinago	2023-08-31 00:00:00	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode10	2023-11-29 00:00:00	waterbird_1	waterbird_microbiome			
