_id	projectID	sampleID	isolation_source	source_type	host	collection_date	collected_by	locality	preservation	platform	sequencing_approach	barcode	run_date	run_directory	project_directory	if_repeated
652c4610312dae40112ee936	waterbird_microbiome	ST05023	fecal	Animal	Gallinago gallinago	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode01	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee945	waterbird_microbiome	ST05316	fecal	Animal	Tringa totanus	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode02	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee946	waterbird_microbiome	ST05318	fecal	Animal	Gallinago gallinago	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode03	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee947	waterbird_microbiome	ST05319	fecal	Animal	Gallinago gallinago	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode04	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee948	waterbird_microbiome	ST05320	fecal	Animal	Gallinago gallinago	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode05	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee949	waterbird_microbiome	ST05321	fecal	Animal	Gallinago gallinago	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode06	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee94a	waterbird_microbiome	ST05322	fecal	Animal	Gallinago gallinago	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode07	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee94d	waterbird_microbiome	SX03094	fecal	Animal	Tringa glareola	2023-07-27	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode08	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee94e	waterbird_microbiome	SX03095	fecal	Animal	Tringa glareola	2023-07-27	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode09	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee94f	waterbird_microbiome	SX03096	fecal	Animal	Tringa glareola	2023-07-27	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode10	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee950	waterbird_microbiome	SX03098	fecal	Animal	Tringa glareola	2023-08-03	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode11	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee951	waterbird_microbiome	SX03099	fecal	Animal	Tringa glareola	2023-08-03	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode12	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee952	waterbird_microbiome	SX03201	fecal	Animal	Tringa glareola	2023-08-03	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode13	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee957	waterbird_microbiome	SX03207	fecal	Animal	Tringa glareola	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode14	2023-12-07	waterbird_2	waterbird_microbiome	
