sample_id	accession	study	bioproject_accession	biosample_accession	library_id	title	library_strategy	library_source	library_selection	library_layout	metadata_platform	instrument_model	design_description	isolation_source	source_type	host	collection_date	collected_by	locality	preservation	waterbird_platform	sequencing_approach	barcode	run_date	project_directory	raw_number_of_reads	raw_number_of_bases	raw_median_read_length	raw_mean_read_length	raw_read_length_stdev	raw_n50	raw_mean_qual	raw_median_qual	raw_longest_read_with_Q_1	raw_longest_read_with_Q_2	raw_longest_read_with_Q_3	raw_longest_read_with_Q_4	raw_longest_read_with_Q_5	raw_highest_Q_read_with_length_1	raw_highest_Q_read_with_length_2	raw_highest_Q_read_with_length_3	raw_highest_Q_read_with_length_4	raw_highest_Q_read_with_length_5	raw_reads_gt_Q5	raw_reads_gt_Q7	raw_reads_gt_Q10	raw_reads_gt_Q12	raw_reads_gt_Q15	filt_number_of_reads	filt_number_of_bases	filt_median_read_length	filt_mean_read_length	filt_read_length_stdev	filt_n50	filt_mean_qual	filt_median_qual	filt_longest_read_with_Q_1	filt_longest_read_with_Q_2	filt_longest_read_with_Q_3	filt_longest_read_with_Q_4	filt_longest_read_with_Q_5	filt_highest_Q_read_with_length_1	filt_highest_Q_read_with_length_2	filt_highest_Q_read_with_length_3	filt_highest_Q_read_with_length_4	filt_highest_Q_read_with_length_5	filt_reads_gt_Q5	filt_reads_gt_Q7	filt_reads_gt_Q10	filt_reads_gt_Q12	filt_reads_gt_Q15
ST05013	SRR36073102	SRP645799	PRJNA1358826	SAMN53128824	library ST05013	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-07-27	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode03	2023-11-29	waterbird_microbiome	74591	113921057	1578	1527.3	248.3	1580	12	12.7	4860 (11.7)	4813 (11.8)	4781 (12.0)	4690 (11.0)	3806 (13.6)	20.5 (206)	19.0 (1590)	18.9 (1578)	18.5 (1594)	18.5 (1603)	74591 (100.0%) 113.9Mb	74591 (100.0%) 113.9Mb	74576 (100.0%) 113.9Mb	48515 (65.0%) 74.9Mb	5750 (7.7%) 9.0Mb	68746	108193120	1580	1573.8	51.6	1581	12	12.8	1800 (11.0)	1799 (14.6)	1798 (13.4)	1798 (12.5)	1797 (13.2)	19.0 (1590)	18.9 (1578)	18.5 (1594)	18.5 (1603)	18.4 (1591)	68746 (100.0%) 108.2Mb	68746 (100.0%) 108.2Mb	68736 (100.0%) 108.2Mb	45592 (66.3%) 71.9Mb	5606 (8.2%) 8.9Mb
ST05016	SRR36073101	SRP645799	PRJNA1358826	SAMN53128825	library ST05016	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-03	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode04	2023-11-29	waterbird_microbiome	95093	146750436	1611	1543.2	291	1612	12	12.7	5049 (12.1)	5047 (13.3)	4879 (10.6)	4851 (13.1)	4833 (10.2)	18.9 (1628)	18.7 (360)	18.5 (1623)	18.5 (1624)	18.4 (1635)	95093 (100.0%) 146.8Mb	95093 (100.0%) 146.8Mb	95077 (100.0%) 146.7Mb	62109 (65.3%) 97.6Mb	8160 (8.6%) 13.1Mb	87703	140696697	1612	1604.2	41.9	1613	12.1	12.8	1798 (11.9)	1797 (12.8)	1797 (10.9)	1795 (11.2)	1795 (11.4)	18.9 (1628)	18.5 (1623)	18.5 (1624)	18.4 (1635)	18.3 (1622)	87703 (100.0%) 140.7Mb	87703 (100.0%) 140.7Mb	87689 (100.0%) 140.7Mb	58889 (67.1%) 94.7Mb	8040 (9.2%) 13.0Mb
ST05017	SRR36073090	SRP645799	PRJNA1358826	SAMN53128826	library ST05017	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-03	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode05	2023-11-29	waterbird_microbiome	89403	141028336	1598	1577.4	199.2	1599	12	12.7	5548 (11.2)	4977 (11.8)	4906 (12.5)	4804 (10.9)	4767 (10.8)	23.1 (107)	20.2 (239)	19.1 (1610)	18.9 (128)	18.9 (1617)	89403 (100.0%) 141.0Mb	89403 (100.0%) 141.0Mb	89384 (100.0%) 141.0Mb	59292 (66.3%) 94.1Mb	7168 (8.0%) 11.5Mb	86299	137655725	1599	1595.1	34.3	1599	12.1	12.8	1800 (11.9)	1800 (12.9)	1796 (10.7)	1795 (11.2)	1794 (11.7)	19.1 (1610)	18.9 (1617)	18.9 (1582)	18.7 (1601)	18.4 (1631)	86299 (100.0%) 137.7Mb	86299 (100.0%) 137.7Mb	86280 (100.0%) 137.6Mb	57843 (67.0%) 92.4Mb	7102 (8.2%) 11.4Mb
ST05018	SRR36073079	SRP645799	PRJNA1358826	SAMN53128827	library ST05018	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-03	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode06	2023-11-29	waterbird_microbiome	89728	139284943	1576	1552.3	222	1577	12.1	12.8	20542 (12.2)	4884 (14.4)	4046 (13.4)	3968 (11.4)	3932 (13.2)	19.9 (1535)	19.3 (661)	18.7 (1576)	18.6 (1579)	18.5 (1574)	89728 (100.0%) 139.3Mb	89728 (100.0%) 139.3Mb	89711 (100.0%) 139.3Mb	59473 (66.3%) 93.2Mb	7940 (8.8%) 12.5Mb	86142	135878560	1577	1577.4	32.4	1577	12.1	12.8	1800 (10.9)	1799 (10.3)	1798 (13.2)	1798 (10.8)	1797 (14.0)	19.9 (1535)	18.7 (1576)	18.6 (1579)	18.5 (1574)	18.5 (1579)	86142 (100.0%) 135.9Mb	86142 (100.0%) 135.9Mb	86126 (100.0%) 135.9Mb	57800 (67.1%) 91.3Mb	7855 (9.1%) 12.4Mb
ST05019	SRR36073068	SRP645799	PRJNA1358826	SAMN53128828	library ST05019	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-18	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode07	2023-11-29	waterbird_microbiome	93263	145035690	1609	1555.1	264.8	1611	12	12.7	5645 (10.8)	4835 (10.4)	4819 (13.4)	4799 (13.6)	4784 (11.3)	25.6 (114)	19.6 (123)	19.2 (1470)	18.7 (1629)	18.7 (1625)	93263 (100.0%) 145.0Mb	93263 (100.0%) 145.0Mb	93239 (100.0%) 145.0Mb	61214 (65.6%) 96.5Mb	8219 (8.8%) 13.2Mb	87483	139972869	1611	1600	46.3	1611	12.1	12.8	1800 (12.2)	1800 (13.8)	1800 (10.6)	1798 (13.3)	1798 (16.5)	19.2 (1470)	18.7 (1629)	18.7 (1625)	18.5 (1585)	18.3 (1630)	87483 (100.0%) 140.0Mb	87483 (100.0%) 140.0Mb	87459 (100.0%) 139.9Mb	58600 (67.0%) 94.0Mb	8097 (9.3%) 13.0Mb
ST05021	SRR36073057	SRP645799	PRJNA1358826	SAMN53128829	library ST05021	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-19	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode08	2023-11-29	waterbird_microbiome	102213	152869691	1571	1495.6	306.9	1573	11.9	12.6	5016 (13.3)	4881 (12.4)	4812 (14.8)	4755 (14.1)	4748 (11.2)	23.7 (107)	19.9 (469)	19.1 (272)	18.8 (99)	18.7 (1609)	102213 (100.0%) 152.9Mb	102213 (100.0%) 152.9Mb	102201 (100.0%) 152.9Mb	64774 (63.4%) 98.9Mb	6820 (6.7%) 10.7Mb	92224	144733615	1574	1569.4	49.9	1574	12	12.7	1800 (12.6)	1799 (10.4)	1799 (13.3)	1799 (10.2)	1799 (14.9)	18.7 (1609)	18.6 (1614)	18.4 (1567)	18.3 (1614)	18.2 (1574)	92224 (100.0%) 144.7Mb	92224 (100.0%) 144.7Mb	92213 (100.0%) 144.7Mb	60233 (65.3%) 94.7Mb	6650 (7.2%) 10.5Mb
ST05022	SRR36073051	SRP645799	PRJNA1358826	SAMN53128830	library ST05022	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-19	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode09	2023-11-29	waterbird_microbiome	99453	148902127	1593	1497.2	339.5	1598	12	12.7	4885 (13.5)	4879 (13.5)	4822 (12.3)	4796 (10.4)	4745 (10.5)	19.8 (1459)	18.6 (794)	18.3 (1621)	18.3 (1570)	18.2 (1627)	99453 (100.0%) 148.9Mb	99453 (100.0%) 148.9Mb	99435 (100.0%) 148.9Mb	64145 (64.5%) 98.4Mb	7763 (7.8%) 12.3Mb	88268	140471509	1598	1591.4	47.4	1599	12.1	12.8	1800 (10.3)	1800 (12.6)	1799 (10.1)	1799 (12.1)	1799 (13.7)	19.8 (1459)	18.3 (1621)	18.3 (1570)	18.2 (1627)	18.1 (1586)	88268 (100.0%) 140.5Mb	88268 (100.0%) 140.5Mb	88253 (100.0%) 140.4Mb	58969 (66.8%) 94.0Mb	7598 (8.6%) 12.2Mb
ST05023	SRR36073050	SRP645799	PRJNA1358826	SAMN53128831	library ST05023	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode01	2023-12-07	waterbird_microbiome	103958	158253403	1615	1522.3	337.1	1616	12.1	12.9	3624 (11.9)	3595 (11.7)	3435 (10.8)	3420 (10.9)	3374 (10.8)	20.5 (1259)	19.8 (403)	18.9 (484)	18.7 (1626)	18.6 (1630)	103958 (100.0%) 158.3Mb	103958 (100.0%) 158.3Mb	103949 (100.0%) 158.2Mb	71347 (68.6%) 112.4Mb	9445 (9.1%) 15.2Mb	94650	152464897	1616	1610.8	36	1616	12.2	13	1800 (10.6)	1800 (10.9)	1799 (11.1)	1799 (13.9)	1797 (11.0)	20.5 (1259)	18.7 (1626)	18.6 (1630)	18.6 (1624)	18.5 (1625)	94650 (100.0%) 152.5Mb	94650 (100.0%) 152.5Mb	94642 (100.0%) 152.5Mb	67955 (71.8%) 109.7Mb	9321 (9.8%) 15.1Mb
ST05024	SRR36073049	SRP645799	PRJNA1358826	SAMN53128832	library ST05024	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode10	2023-11-29	waterbird_microbiome	93189	141163750	1596	1514.8	312.4	1600	12	12.7	5096 (11.2)	4883 (12.3)	4845 (13.2)	4821 (15.3)	4786 (11.4)	25.2 (122)	23.4 (105)	19.2 (1618)	18.6 (1622)	18.3 (1624)	93189 (100.0%) 141.2Mb	93189 (100.0%) 141.2Mb	93173 (100.0%) 141.1Mb	59672 (64.0%) 92.4Mb	7132 (7.7%) 11.3Mb	84680	134555153	1600	1589	54.9	1601	12	12.8	1800 (12.9)	1800 (14.0)	1799 (11.5)	1797 (13.7)	1796 (13.3)	19.2 (1618)	18.6 (1622)	18.3 (1624)	18.3 (1624)	18.2 (1577)	84680 (100.0%) 134.6Mb	84680 (100.0%) 134.6Mb	84669 (100.0%) 134.5Mb	55922 (66.0%) 89.1Mb	6997 (8.3%) 11.2Mb
ST05025	SRR36073048	SRP645799	PRJNA1358826	SAMN53128833	library ST05025	Waterbird microbiome	AMPLICON	GENOMIC	PCR	single	OXFORD_NANOPORE	MinION	16S was amplified and sequenced with SQK-16S using R9.4.1 chemistry following the manufacturers instructions.	fecal	Animal	Gallinago gallinago	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode11	2023-11-29	waterbird_microbiome	96609	151702170	1582	1570.3	203.9	1584	12	12.8	19468 (10.8)	6364 (11.1)	5088 (10.7)	4898 (13.8)	4853 (12.7)	26.5 (133)	18.9 (1619)	18.7 (1634)	18.7 (1582)	18.4 (1513)	96609 (100.0%) 151.7Mb	96609 (100.0%) 151.7Mb	96592 (100.0%) 151.7Mb	63808 (66.0%) 100.7Mb	8472 (8.8%) 13.5Mb	93412	147940336	1583	1583.7	35.5	1583	12.1	12.8	1799 (12.6)	1799 (11.3)	1798 (13.9)	1798 (12.4)	1798 (11.2)	18.9 (1619)	18.7 (1634)	18.7 (1582)	18.4 (1513)	18.4 (1602)	93412 (100.0%) 147.9Mb	93412 (100.0%) 147.9Mb	93396 (100.0%) 147.9Mb	62302 (66.7%) 98.9Mb	8394 (9.0%) 13.4Mb
